n,mechanism,method,mean_abs_M_bias,mean_component_M_RMSE,pf_bias,pf_RMSE,CI_failure
500,MAR,Ignorable FIML,0.0023789358289113666,0.04229357851839707,0.0010947882298471,0.0455023843751123,0.03
500,MAR,Candidate saturated (= correct logistic),0.009942918298282,0.06713836382537351,0.0022847177237875,0.0484563459682294,0.29
500,MAR,Complete-data oracle,0.002858571519224867,0.0350863554568709,-0.0016492483155892,0.0354073226417747,0.0
500,MAR,Restricted selection (Yj only),0.035033494178186415,0.06216018891055558,0.0173918850386196,0.0496627342213643,0.04
500,MCAR,Ignorable FIML,0.0036575978278412663,0.042578620843225445,0.0025314115795263,0.0455023106242492,0.03
500,MCAR,Candidate saturated (= correct logistic),0.010289381298311731,0.06595648702963758,0.0023129368458587,0.0488066284436538,0.3
500,MCAR,Complete-data oracle,0.002858571519224867,0.0350863554568709,-0.0016492483155892,0.0354073226417747,0.0
500,MCAR,Restricted selection (Yj only),0.004447316909938134,0.04844259276267765,0.0007990288424342,0.0458936233529918,0.03
500,MNAR,Ignorable FIML,0.06896296504201276,0.0870055198321577,-0.0149808669976958,0.0565549064352211,0.22
500,MNAR,Candidate saturated (= correct logistic),0.00942152571054135,0.05454589150333574,-0.0011061805185274,0.0465119393288837,0.41
500,MNAR,Complete-data oracle,0.002858571519224867,0.0350863554568709,-0.0016492483155892,0.0354073226417747,0.0
500,MNAR,Restricted selection (Yj only),0.045083135402553404,0.06276120054229652,0.0100352306226295,0.0458685733403857,1.0
5000,MAR,Ignorable FIML,0.0010512380045935002,0.012552039777247335,0.0007769044796034,0.0119822456326186,0.0
5000,MAR,Candidate saturated (= correct logistic),0.0026740398298514497,0.019745174127367166,0.0001848058357971,0.0123773843201468,0.0
5000,MAR,Complete-data oracle,0.0010648205366165333,0.010642457578490782,0.0007287134164131,0.0101984775681514,0.0
5000,MAR,Restricted selection (Yj only),0.034333842288994734,0.038193748886307964,0.0170928069444935,0.0210193118570653,0.0
5000,MCAR,Ignorable FIML,0.0009203413170751,0.012667996830945083,0.0007044500459134,0.0123804894972765,0.0
5000,MCAR,Candidate saturated (= correct logistic),0.0022941185192129664,0.019004226575884797,0.0001026240981168,0.0129038992271883,0.0
5000,MCAR,Complete-data oracle,0.0010648205366165333,0.010642457578490782,0.0007287134164131,0.0101984775681514,0.0
5000,MCAR,Restricted selection (Yj only),0.0011561320332177333,0.013797262651685368,0.0006049793526298,0.0125680387878462,0.0
5000,MNAR,Ignorable FIML,0.07010308996148171,0.07188974075631502,-0.01734758809236,0.0231475007869619,0.0
5000,MNAR,Candidate saturated (= correct logistic),0.0022053936794842,0.017376110020671735,0.0004509341416175,0.0121309640427004,0.0
5000,MNAR,Complete-data oracle,0.0010648205366165333,0.010642457578490782,0.0007287134164131,0.0101984775681514,0.0
5000,MNAR,Restricted selection (Yj only),0.04484238581914149,0.047520119139744126,0.0088997043739085,0.0141847897097008,1.0
