mechanism,method,M_abs_bias,M_RMSE,p_bias,p_RMSE,valid_CI
MAR,MAR_ignorability,0.002800670063868234,0.03024561736378037,0.0091630498984517,0.0330586244528144,100
MAR,candidate_saturated,0.004038303342376034,0.04437029434675616,0.010313378574104,0.0346356380190147,94
MAR,oracle,0.0022584394277818,0.02474593706419805,0.005229080459671,0.0255525755380685,100
MAR,selection_misspecified,0.03636545814142074,0.051120135201143196,0.0253312013046358,0.0409650398007459,100
MCAR,MAR_ignorability,0.002971510446414933,0.03030055929680385,0.007791594239547,0.0328249539530656,100
MCAR,candidate_saturated,0.003454435503047,0.04286965979280829,0.0090193910592013,0.0345154006622304,94
MCAR,oracle,0.0022584394277818,0.02474593706419805,0.005229080459671,0.0255525755380685,100
MCAR,selection_misspecified,0.002623521005774033,0.03281596761020778,0.0084786947181174,0.0331620219351674,100
MNAR,MAR_ignorability,0.07176726205931525,0.08161139664110974,-0.0096894431543073,0.0396729609198756,91
MNAR,candidate_saturated,0.0042251943330218165,0.038680989899130463,0.0072478926066847,0.0295312406484909,81
MNAR,oracle,0.0022584394277818,0.02474593706419805,0.005229080459671,0.0255525755380685,100
MNAR,selection_misspecified,0.04362084062316512,0.05416674146237258,0.0152741023119463,0.032579091480569,0
