mechanism,rep,method,parameter,truth,estimate,se,covered
MCAR,0,oracle,M1_class1,0.15,0.14355128372197476,0.026269932513051073,1.0
MCAR,0,oracle,M1_class2,0.8,0.8769831296721986,0.03988556783025625,1.0
MCAR,0,oracle,M2_class1,0.25,0.2968389144539319,0.03087910715135279,1.0
MCAR,0,oracle,M2_class2,0.75,0.8285377137585701,0.03364047588445994,0.0
MCAR,0,oracle,M3_class1,0.2,0.20704342699981831,0.0295722261921311,1.0
MCAR,0,oracle,M3_class2,0.85,0.9363680565339658,0.0343495658002955,0.0
MCAR,0,oracle,p_class2,0.45,0.36329030321661504,0.031594678964213474,0.0
MCAR,0,oracle,mean_Y1,0.44250000000000006,0.4099999614259533,0.021995454109753284,1.0
MCAR,0,oracle,mean_Y2,0.47500000000000003,0.48999993247322404,0.022356207336468648,1.0
MCAR,0,oracle,mean_Y3,0.49250000000000005,0.4719999928066242,0.022325590925399635,1.0
MCAR,0,oracle,P000,0.28387500000000004,0.30453903387709463,0.020134282495627574,1.0
MCAR,0,oracle,P001,0.08925,0.08656396981278872,0.011400290766846786,1.0
MCAR,0,oracle,P010,0.10362500000000001,0.13071124728220102,0.014522690410750543,1.0
MCAR,0,oracle,P011,0.08074999999999999,0.06818578760196234,0.01017743502107187,1.0
MCAR,0,oracle,P100,0.063,0.05443881337088604,0.009016004827597159,1.0
MCAR,0,oracle,P101,0.08887500000000001,0.06445825046600653,0.010553244387543069,0.0
MCAR,0,oracle,P110,0.057000000000000016,0.0383109126631941,0.007883335804870356,0.0
MCAR,0,oracle,P111,0.233625,0.25279198492586663,0.0192839445820688,1.0
MCAR,0,MAR_ignorability,M1_class1,0.15,0.16456766231704154,0.031360305591043594,1.0
MCAR,0,MAR_ignorability,M1_class2,0.8,0.858264624258093,0.04667633237309104,1.0
MCAR,0,MAR_ignorability,M2_class1,0.25,0.25439109889003503,0.03684481086451179,1.0
MCAR,0,MAR_ignorability,M2_class2,0.75,0.8233096712276431,0.04358795022325865,1.0
MCAR,0,MAR_ignorability,M3_class1,0.2,0.19489400367757154,0.036157652937314155,1.0
MCAR,0,MAR_ignorability,M3_class2,0.85,0.9757870163917824,0.053458152055035735,0.0
MCAR,0,MAR_ignorability,p_class2,0.45,0.35380342086523525,0.038598931773395906,0.0
MCAR,0,MAR_ignorability,mean_Y1,0.44250000000000006,0.41000002049560647,0.021995454040514038,1.0
MCAR,0,MAR_ignorability,mean_Y2,0.47500000000000003,0.4556764359768466,0.02609893476770936,1.0
MCAR,0,MAR_ignorability,mean_Y3,0.49250000000000005,0.471176622905619,0.02575010375496582,1.0
MCAR,0,MAR_ignorability,P000,0.28387500000000004,0.32428547120678614,0.023401955709652582,1.0
MCAR,0,MAR_ignorability,P001,0.08925,0.08709451228305103,0.014156803382303022,1.0
MCAR,0,MAR_ignorability,P010,0.10362500000000001,0.11156802927506557,0.0167628840316808,1.0
MCAR,0,MAR_ignorability,P011,0.08074999999999999,0.06705196673949092,0.012262668836895637,1.0
MCAR,0,MAR_ignorability,P100,0.063,0.06513622730235845,0.01178342992068543,1.0
MCAR,0,MAR_ignorability,P101,0.08887500000000001,0.0678073532309579,0.013111638085516667,1.0
MCAR,0,MAR_ignorability,P110,0.057000000000000016,0.027833649310170933,0.010446097657654233,0.0
MCAR,0,MAR_ignorability,P111,0.233625,0.24922279065211914,0.021048887897788394,1.0
MCAR,0,selection_misspecified,M1_class1,0.15,0.16750748507700924,0.0318698872730692,1.0
MCAR,0,selection_misspecified,M1_class2,0.8,0.8601822300626637,0.04917875188746094,1.0
MCAR,0,selection_misspecified,M2_class1,0.25,0.22746068935480632,0.03818274995023825,1.0
MCAR,0,selection_misspecified,M2_class2,0.75,0.7968240810518054,0.05386660849294623,1.0
MCAR,0,selection_misspecified,M3_class1,0.2,0.2217533688674511,0.04500000080750125,1.0
MCAR,0,selection_misspecified,M3_class2,0.85,0.9938008653880123,0.04980850831481074,0.0
MCAR,0,selection_misspecified,p_class2,0.45,0.35008123333275076,0.04056543421082565,0.0
MCAR,0,selection_misspecified,mean_Y1,0.44250000000000006,0.4099999141000358,0.02199545405503494,1.0
MCAR,0,selection_misspecified,mean_Y2,0.47500000000000003,0.42678412773460983,0.03785823555884349,1.0
MCAR,0,selection_misspecified,mean_Y3,0.49250000000000005,0.49203270864083176,0.032622644779313474,1.0
MCAR,0,selection_misspecified,P000,0.28387500000000004,0.3253565484347964,0.027157181310283114,1.0
MCAR,0,selection_misspecified,P001,0.08925,0.10257275255646083,0.019217372535054292,1.0
MCAR,0,selection_misspecified,P010,0.10362500000000001,0.09601917623751555,0.017290952027107516,1.0
MCAR,0,selection_misspecified,P011,0.08074999999999999,0.06605160867119145,0.014878693280142366,1.0
MCAR,0,selection_misspecified,P100,0.063,0.06583251983628104,0.012889852024877507,1.0
MCAR,0,selection_misspecified,P101,0.08887500000000001,0.0794540514378519,0.017446414941798456,1.0
MCAR,0,selection_misspecified,P110,0.057000000000000016,0.020759046850575252,0.009632362183008784,0.0
MCAR,0,selection_misspecified,P111,0.233625,0.24395429597532756,0.02305503731054612,1.0
MCAR,0,candidate_saturated,M1_class1,0.15,0.16673000893121592,,
MCAR,0,candidate_saturated,M1_class2,0.8,0.8246840689670172,,
MCAR,0,candidate_saturated,M2_class1,0.25,0.256363770739884,,
MCAR,0,candidate_saturated,M2_class2,0.75,0.74137805789708,,
MCAR,0,candidate_saturated,M3_class1,0.2,0.24770340706579783,,
MCAR,0,candidate_saturated,M3_class2,0.85,0.9999546021312976,,
MCAR,0,candidate_saturated,p_class2,0.45,0.36973691580308743,,
MCAR,0,candidate_saturated,mean_Y1,0.44250000000000006,0.4099999138289725,,
MCAR,0,candidate_saturated,mean_Y2,0.47500000000000003,0.43569145739381865,,
MCAR,0,candidate_saturated,mean_Y3,0.49250000000000005,0.5258384438385024,,
MCAR,0,candidate_saturated,P000,0.28387500000000004,0.2938044517518446,,
MCAR,0,candidate_saturated,P001,0.08925,0.11350198724579622,,
MCAR,0,candidate_saturated,P010,0.10362500000000001,0.10128909998080542,,
MCAR,0,candidate_saturated,P011,0.08074999999999999,0.08140454719258124,,
MCAR,0,candidate_saturated,P100,0.063,0.05879111883742673,,
MCAR,0,candidate_saturated,P101,0.08887500000000001,0.09821098477111379,,
MCAR,0,candidate_saturated,P110,0.057000000000000016,0.020276885591420785,,
MCAR,0,candidate_saturated,P111,0.233625,0.2327209246290112,,
MCAR,1,oracle,M1_class1,0.15,0.07695517255616074,0.02946938557741292,0.0
MCAR,1,oracle,M1_class2,0.8,0.7086660824980113,0.04451822360349995,0.0
MCAR,1,oracle,M2_class1,0.25,0.23624453938643394,0.03751366566794546,1.0
MCAR,1,oracle,M2_class2,0.75,0.6581817872720209,0.03506448879072243,0.0
MCAR,1,oracle,M3_class1,0.2,0.15871396899088722,0.03468981367474658,1.0
MCAR,1,oracle,M3_class2,0.85,0.7909148244607428,0.04120860350883524,1.0
MCAR,1,oracle,p_class2,0.45,0.4923847280433402,0.04149600250057286,1.0
MCAR,1,oracle,mean_Y1,0.44250000000000006,0.3879999771498899,0.021792475626342477,0.0
MCAR,1,oracle,mean_Y2,0.47500000000000003,0.4439999964379341,0.022219990950987093,1.0
MCAR,1,oracle,mean_Y3,0.49250000000000005,0.4700000152801791,0.022320394233164287,1.0
MCAR,1,oracle,P000,0.28387500000000004,0.3113138076350007,0.020913393849352445,1.0
MCAR,1,oracle,P001,0.08925,0.0955783405271684,0.01137477758741049,1.0
MCAR,1,oracle,P010,0.10362500000000001,0.11286507923689,0.014171670467920908,1.0
MCAR,1,oracle,P011,0.08074999999999999,0.09224279545105102,0.01160030473854993,1.0
MCAR,1,oracle,P100,0.063,0.050037988613017545,0.008259575491538596,1.0
MCAR,1,oracle,P101,0.08887500000000001,0.09906986678687921,0.011934329873670208,1.0
MCAR,1,oracle,P110,0.057000000000000016,0.05578310923491264,0.00910232883710872,1.0
MCAR,1,oracle,P111,0.233625,0.18310901251508044,0.016091220668125447,0.0
MCAR,1,MAR_ignorability,M1_class1,0.15,0.06308783839722949,0.03578423402424863,0.0
MCAR,1,MAR_ignorability,M1_class2,0.8,0.724921089129778,0.049869403206271264,1.0
MCAR,1,MAR_ignorability,M2_class1,0.25,0.274387524708091,0.0479611348172997,1.0
MCAR,1,MAR_ignorability,M2_class2,0.75,0.6617965052690207,0.04134442678008369,0.0
MCAR,1,MAR_ignorability,M3_class1,0.2,0.16893656727052014,0.04085059816698493,1.0
MCAR,1,MAR_ignorability,M3_class2,0.85,0.8158264790907372,0.053764674566221755,1.0
MCAR,1,MAR_ignorability,p_class2,0.45,0.4909275938056833,0.04971797314144665,1.0
MCAR,1,MAR_ignorability,mean_Y1,0.44250000000000006,0.38800004367995305,0.021792476104567172,0.0
MCAR,1,MAR_ignorability,mean_Y2,0.47500000000000003,0.46457728335358095,0.02626942239522746,1.0
MCAR,1,MAR_ignorability,mean_Y3,0.49250000000000005,0.48651267513758994,0.025318486154266066,1.0
MCAR,1,MAR_ignorability,P000,0.28387500000000004,0.29603047885665157,0.02331814816915385,1.0
MCAR,1,MAR_ignorability,P001,0.08925,0.09572713266040613,0.013217872696000743,1.0
MCAR,1,MAR_ignorability,P010,0.10362500000000001,0.1252218158025007,0.018771412885309886,1.0
MCAR,1,MAR_ignorability,P011,0.08074999999999999,0.09502052900048856,0.012843638553138064,1.0
MCAR,1,MAR_ignorability,P100,0.063,0.04153441247715959,0.008275563708303324,0.0
MCAR,1,MAR_ignorability,P101,0.08887500000000001,0.10213069265220176,0.013887026883545294,1.0
MCAR,1,MAR_ignorability,P110,0.057000000000000016,0.05070061772609817,0.011106890568678487,1.0
MCAR,1,MAR_ignorability,P111,0.233625,0.1936343208244935,0.018764755282239334,0.0
MCAR,1,selection_misspecified,M1_class1,0.15,0.06316001403635285,0.03640119138969307,0.0
MCAR,1,selection_misspecified,M1_class2,0.8,0.7249410042075305,0.04961761452797876,1.0
MCAR,1,selection_misspecified,M2_class1,0.25,0.2412042187680538,0.05702379094964058,1.0
MCAR,1,selection_misspecified,M2_class2,0.75,0.6236695327706672,0.06547356542752289,1.0
MCAR,1,selection_misspecified,M3_class1,0.2,0.16144356971159476,0.04438443148161734,1.0
MCAR,1,selection_misspecified,M3_class2,0.85,0.8083444908369897,0.06253595330806563,1.0
MCAR,1,selection_misspecified,p_class2,0.45,0.4908572734802779,0.049531978039471104,1.0
MCAR,1,selection_misspecified,mean_Y1,0.44250000000000006,0.3880000265128557,0.021792476371622602,0.0
MCAR,1,selection_misspecified,mean_Y2,0.47500000000000003,0.428940100000155,0.049268264109506764,1.0
MCAR,1,selection_misspecified,mean_Y3,0.49250000000000005,0.4789795920670864,0.03262003650267083,1.0
MCAR,1,selection_misspecified,P000,0.28387500000000004,0.31324046887441165,0.028960162119122113,1.0
MCAR,1,selection_misspecified,P001,0.08925,0.09950408615578028,0.016974693243006045,1.0
MCAR,1,selection_misspecified,P010,0.10362500000000001,0.11261490479253002,0.023631651426865224,1.0
MCAR,1,selection_misspecified,P011,0.08074999999999999,0.08664051366442235,0.014961486741842273,1.0
MCAR,1,selection_misspecified,P100,0.063,0.046127002695126,0.010197004967089264,1.0
MCAR,1,selection_misspecified,P101,0.08887500000000001,0.1121883422745271,0.020439450922767388,1.0
MCAR,1,selection_misspecified,P110,0.057000000000000016,0.04903803157084589,0.013261747601389363,1.0
MCAR,1,selection_misspecified,P111,0.233625,0.18064664997235672,0.024487893723434427,0.0
MCAR,1,candidate_saturated,M1_class1,0.15,0.06091562770001,,
MCAR,1,candidate_saturated,M1_class2,0.8,0.7583068303932221,,
MCAR,1,candidate_saturated,M2_class1,0.25,0.20421541312820735,,
MCAR,1,candidate_saturated,M2_class2,0.75,0.6061211179132362,,
MCAR,1,candidate_saturated,M3_class1,0.2,0.16173836901931388,,
MCAR,1,candidate_saturated,M3_class2,0.85,0.8821818595121049,,
MCAR,1,candidate_saturated,p_class2,0.45,0.46901124830679203,,
MCAR,1,candidate_saturated,mean_Y1,0.44250000000000006,0.38799994623332845,,
MCAR,1,candidate_saturated,mean_Y2,0.47500000000000003,0.3927137094310547,,
MCAR,1,candidate_saturated,mean_Y3,0.49250000000000005,0.4996344698298403,,
MCAR,1,candidate_saturated,P000,0.28387500000000004,0.3378932254437181,,
MCAR,1,candidate_saturated,P001,0.08925,0.10356823380959473,,
MCAR,1,candidate_saturated,P010,0.10362500000000001,0.09345575818433209,,
MCAR,1,candidate_saturated,P011,0.08074999999999999,0.0770828363290266,,
MCAR,1,candidate_saturated,P100,0.063,0.0380814325120902,,
MCAR,1,candidate_saturated,P101,0.08887500000000001,0.12774339880354219,,
MCAR,1,candidate_saturated,P110,0.057000000000000016,0.030935114030019296,,
MCAR,1,candidate_saturated,P111,0.233625,0.19124000088767673,,
MCAR,2,oracle,M1_class1,0.15,0.15841129792787165,0.02844874536964993,1.0
MCAR,2,oracle,M1_class2,0.8,0.8504629556453952,0.037328847706221836,1.0
MCAR,2,oracle,M2_class1,0.25,0.24842322508893636,0.02800413894866071,1.0
