mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,MAR_ignorability,M1_class1,-0.0021714817869591192,0.0355615140247744,0.0356739718741254,0.03732422110586882,0.9381443298969072,97,0.03535198887951603,0.03,0.91,0.0035673971874125403,100
MAR,MAR_ignorability,M1_class2,0.0017209656904543015,0.04404705845023983,0.04423515713180956,0.04544463222060492,0.979381443298969,97,0.03977818348246911,0.03,0.95,0.004423515713180956,100
MAR,MAR_ignorability,M2_class1,0.0009391593184403446,0.04122456458600824,0.04142149328720503,0.03977912825246187,0.9175257731958762,97,0.04131974872100213,0.03,0.89,0.0041421493287205026,100
MAR,MAR_ignorability,M2_class2,-0.0010712710095856404,0.043526152127316614,0.04373217729248965,0.04820421921695654,0.9690721649484536,97,0.04222460186722839,0.03,0.94,0.004373217729248965,100
MAR,MAR_ignorability,M3_class1,0.00397228806812629,0.03942872461094567,0.039425742141188026,0.04087788696247064,0.9381443298969072,97,0.03928274580287314,0.03,0.91,0.0039425742141188025,100
MAR,MAR_ignorability,M3_class2,-0.004398449099902736,0.04997345731109783,0.05003029467222411,0.04662539814301084,0.9278350515463918,97,0.0489494097176281,0.03,0.9,0.005003029467222411,100
MAR,MAR_ignorability,P000,-0.0021788267322414095,0.023455176060274065,0.02347140960353883,0.02191192571752962,0.9175257731958762,97,0.02372522135163664,0.03,0.89,0.002347140960353883,100
MAR,MAR_ignorability,P001,0.0016240776279595065,0.013252307369337227,0.013218674518651698,0.013417516256294244,0.9587628865979382,97,0.013355374013521158,0.03,0.93,0.0013218674518651699,100
MAR,MAR_ignorability,P010,0.0004513259483555805,0.015836316869878648,0.015909632330778405,0.015020744326910161,0.9381443298969072,97,0.01600809348452762,0.03,0.91,0.0015909632330778404,100
MAR,MAR_ignorability,P011,0.00032341573310205375,0.011995595946954107,0.01205164494351746,0.011999794154884195,0.9690721649484536,97,0.011476531412612515,0.03,0.94,0.001205164494351746,100
MAR,MAR_ignorability,P100,-0.00012667873481719125,0.01013801443160097,0.01018829240524844,0.011076501800431682,0.9587628865979382,97,0.010278488738101865,0.03,0.93,0.0010188292405248441,100
MAR,MAR_ignorability,P101,0.00024249029855277112,0.01349696967889345,0.01356277544404287,0.014902135607394023,0.9690721649484536,97,0.013370156750915794,0.03,0.94,0.001356277544404287,100
MAR,MAR_ignorability,P110,0.0014497375361100535,0.012986470283745428,0.012970310756422857,0.011595728200746804,0.9175257731958762,97,0.012979014847878258,0.03,0.89,0.0012970310756422858,100
MAR,MAR_ignorability,P111,-0.0017855416770214325,0.018549454165384303,0.018556332218609004,0.021340724987196545,0.979381443298969,97,0.01821475329139349,0.03,0.95,0.0018556332218609005,100
MAR,MAR_ignorability,mean_Y1,-0.000219992577175831,0.024046006966511668,0.0241661348802413,0.022184416434242373,0.8969072164948454,97,0.02444668033731569,0.03,0.87,0.00241661348802413,100
MAR,MAR_ignorability,mean_Y2,0.00043893754054623925,0.02553077032797103,0.025655597128409577,0.026139474209842663,0.9278350515463918,97,0.02592712212769407,0.03,0.9,0.0025655597128409575,100
MAR,MAR_ignorability,mean_Y3,0.0004044419825928508,0.023335467224704844,0.023449504254370663,0.025693932718717793,0.979381443298969,97,0.023668098857202287,0.03,0.95,0.0023449504254370664,100
MAR,MAR_ignorability,p_class2,0.0010947882298471755,0.04550238437511239,0.045718378402893535,0.04473431230235324,0.9690721649484536,97,0.04233585545718568,0.03,0.94,0.004571837840289353,100
MAR,candidate_saturated,M1_class1,0.0022429359932231783,0.0417120525162242,0.041861539003287825,0.046558351073968246,0.9436619718309859,71,0.03856870767138288,0.29,0.67,0.004186153900328783,100
MAR,candidate_saturated,M1_class2,-0.004909369964583302,0.05050563029389926,0.05051969090989368,0.058589205265557276,1.0,71,0.042084501751832634,0.29,0.71,0.005051969090989368,100
MAR,candidate_saturated,M2_class1,-0.00590424753855123,0.06392703529698619,0.0639744717305083,0.08127009050572599,0.9577464788732394,71,0.06046786328213869,0.29,0.68,0.006397447173050829,100
MAR,candidate_saturated,M2_class2,-0.015716825898878822,0.08723376897944761,0.08623852190657184,0.10813758822826677,0.971830985915493,71,0.077099407160956,0.29,0.69,0.008623852190657184,100
MAR,candidate_saturated,M3_class1,0.012576517051622988,0.0700815986572687,0.06929122912421287,0.07105292712067153,0.971830985915493,71,0.06430590013382363,0.29,0.69,0.006929122912421287,100
MAR,candidate_saturated,M3_class2,-0.018307613342832735,0.08937009720841531,0.08791551022494298,0.0729794064453746,0.9436619718309859,71,0.07536152157683851,0.29,0.67,0.008791551022494298,100
MAR,candidate_saturated,P000,-0.003443039272608704,0.0378356833804558,0.03786851811299347,0.044724841443369794,0.971830985915493,71,0.03368763455725333,0.29,0.69,0.003786851811299347,100
