mechanism,rep,method,parameter,truth,estimate,se,covered
MCAR,0,oracle,M1_class1,0.15,0.14616328796182756,0.022335933816550815,1.0
MCAR,0,oracle,M1_class2,0.8,0.7626517532438355,0.02752638850399777,1.0
MCAR,0,oracle,M2_class1,0.25,0.23998988979694616,0.022398686436223964,1.0
MCAR,0,oracle,M2_class2,0.75,0.7304836035208815,0.02688882476086716,1.0
MCAR,0,oracle,M3_class1,0.2,0.1897010717957303,0.02510842374562931,1.0
MCAR,0,oracle,M3_class2,0.85,0.8414482759124573,0.025141353343920564,1.0
MCAR,0,oracle,p_class2,0.45,0.4668971375997202,0.026528076811901207,1.0
MCAR,0,oracle,mean_Y1,0.44250000000000006,0.4339999877652415,0.015673034142339587,1.0
MCAR,0,oracle,mean_Y2,0.47500000000000003,0.4690000007453082,0.015780969546874267,1.0
MCAR,0,oracle,mean_Y3,0.49250000000000005,0.4939999758364507,0.015810249847189345,1.0
MCAR,0,oracle,P000,0.28387500000000004,0.28505314200150406,0.01395656744995959,1.0
MCAR,0,oracle,P001,0.08925,0.09075744134893615,0.008101717796304662,1.0
MCAR,0,oracle,P010,0.10362500000000001,0.10135124991203695,0.008661859161814011,1.0
MCAR,0,oracle,P011,0.08074999999999999,0.08883817897228133,0.00787316868453152,1.0
MCAR,0,oracle,P100,0.063,0.06320204420144074,0.006818234605955248,1.0
MCAR,0,oracle,P101,0.08887500000000001,0.09198737170281095,0.00843188889712369,1.0
MCAR,0,oracle,P110,0.057000000000000016,0.05639358804856756,0.006238758230901413,1.0
MCAR,0,oracle,P111,0.233625,0.22241698381242228,0.0128746945285684,1.0
MCAR,0,MAR_ignorability,M1_class1,0.15,0.153671055541445,0.027435981434767123,1.0
MCAR,0,MAR_ignorability,M1_class2,0.8,0.7690276188559451,0.032063805843211626,1.0
MCAR,0,MAR_ignorability,M2_class1,0.25,0.2651097596521834,0.028904223652153803,1.0
MCAR,0,MAR_ignorability,M2_class2,0.75,0.7435171971638881,0.03359648373243422,1.0
MCAR,0,MAR_ignorability,M3_class1,0.2,0.18968004673894132,0.031270871986628264,1.0
MCAR,0,MAR_ignorability,M3_class2,0.85,0.8290124854757575,0.03437818092359798,1.0
MCAR,0,MAR_ignorability,p_class2,0.45,0.45555528038389215,0.03377365742353207,1.0
MCAR,0,MAR_ignorability,mean_Y1,0.44250000000000006,0.4339999872782504,0.01567303410240469,1.0
MCAR,0,MAR_ignorability,mean_Y2,0.47500000000000003,0.4830507939855674,0.018357471387601736,1.0
MCAR,0,MAR_ignorability,mean_Y3,0.49250000000000005,0.4809313151262091,0.01812994275608082,1.0
MCAR,0,MAR_ignorability,P000,0.28387500000000004,0.2790068394414093,0.01591757369587906,1.0
MCAR,0,MAR_ignorability,P001,0.08925,0.08660268629556464,0.009588239626990831,1.0
MCAR,0,MAR_ignorability,P010,0.10362500000000001,0.11236326544240406,0.01100334601775984,1.0
MCAR,0,MAR_ignorability,P011,0.08074999999999999,0.08802722154237166,0.008875253061501396,1.0
MCAR,0,MAR_ignorability,P100,0.063,0.06518647536900803,0.007701695346553187,1.0
MCAR,0,MAR_ignorability,P101,0.08887500000000001,0.08615320490845067,0.009825178758086023,1.0
MCAR,0,MAR_ignorability,P110,0.057000000000000016,0.06251210462096951,0.008018288981860475,1.0
MCAR,0,MAR_ignorability,P111,0.233625,0.2201482023798222,0.014200086612703356,1.0
