mechanism,stratum,matrix,rank,sigma_min,inverse_determinant
MCAR,0,K2,2,0.35,0.24499999999999994
MCAR,0,K3,2,0.45439994841281056,0.31849999999999984
MCAR,1,K2,2,0.35,0.24499999999999994
MCAR,1,K3,2,0.45439994841281056,0.31849999999999984
MCAR,both,G,2,0.3838307771302368,
MCAR,fixed X,old_pair_12,2,2.2697087050398144e-18,
MCAR,fixed X,old_pair_13,2,5.463923614675858e-18,
MAR,0,K2,2,0.3733187693675148,0.27873380712415147
MAR,0,K3,2,0.484566359971383,0.36235394926139686
MAR,1,K2,2,0.3206209854861254,0.20559563266818842
MAR,1,K3,2,0.4163753641990683,0.2672743224686447
MAR,both,G,2,0.3838307771302368,
MAR,fixed X,old_pair_12,2,2.2697087050398144e-18,
MAR,fixed X,old_pair_13,2,5.463923614675858e-18,
MNAR,0,K2,2,0.41060466295236625,0.33536417400209084
MNAR,0,K3,2,0.5428200074556715,0.4476166554212555
MNAR,1,K2,2,0.3488631301647485,0.15112939103948994
MNAR,1,K3,2,0.46044040480860304,0.20876866703031718
MNAR,both,G,2,0.3838307771302368,
MNAR,fixed X,old_pair_12,2,2.2697087050398144e-18,
MNAR,fixed X,old_pair_13,2,5.463923614675858e-18,
