mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,MAR_ignorability,M1_class1,-0.0023613289407457003,0.011120554434800624,0.010921707444627,0.011275110548779912,0.96,100,0.010921707444627,0.0,0.96,0.0010921707444627,100
MAR,MAR_ignorability,M1_class2,0.00016574746268183116,0.012905317648208544,0.012969262472110058,0.013715265946378497,0.94,100,0.012969262472110058,0.0,0.94,0.001296926247211006,100
MAR,MAR_ignorability,M2_class1,-0.0024327990709122104,0.011253242469415997,0.011042477889286917,0.012079771530108483,0.99,100,0.011042477889286917,0.0,0.99,0.0011042477889286917,100
MAR,MAR_ignorability,M2_class2,-0.00048372942321360025,0.014705241400486192,0.014771325296049357,0.014809845906212165,0.93,100,0.014771325296049357,0.0,0.93,0.0014771325296049358,100
MAR,MAR_ignorability,M3_class1,-0.000454575351660777,0.012194847797019234,0.012247765165845742,0.012580055072848475,0.98,100,0.012247765165845742,0.0,0.98,0.0012247765165845743,100
MAR,MAR_ignorability,M3_class2,-0.00040924777834701386,0.013133034913553708,0.013192786607891157,0.014354219580831695,0.95,100,0.013192786607891157,0.0,0.95,0.0013192786607891158,100
MAR,MAR_ignorability,P000,0.0014205304380394835,0.007178738590224209,0.00707223772834596,0.0068999327091572756,0.96,100,0.00707223772834596,0.0,0.96,0.000707223772834596,100
MAR,MAR_ignorability,P001,0.0002488132709680987,0.004112972655216122,0.004126122255510603,0.004199136883299783,0.96,100,0.004126122255510603,0.0,0.96,0.00041261222555106033,100
MAR,MAR_ignorability,P010,-0.0006937136366205222,0.00445625669335077,0.004424105811313427,0.0046600286598281635,0.97,100,0.004424105811313427,0.0,0.97,0.0004424105811313427,100
MAR,MAR_ignorability,P011,-0.00023762884409856577,0.0037328814128170435,0.003744077636493163,0.0037418790885369686,0.95,100,0.003744077636493163,0.0,0.95,0.0003744077636493163,100
MAR,MAR_ignorability,P100,-0.0005523357883265707,0.003645305565640746,0.0036213700521168443,0.003464799000379765,0.95,100,0.0036213700521168443,0.0,0.95,0.00036213700521168444,100
MAR,MAR_ignorability,P101,8.047641412554068e-05,0.004847710703406921,0.0048714611719891075,0.004650123612782779,0.92,100,0.0048714611719891075,0.0,0.92,0.0004871461171989108,100
MAR,MAR_ignorability,P110,-0.0002613216941123211,0.0034480297841134873,0.0034554334851101057,0.00360200280019059,0.95,100,0.0034554334851101057,0.0,0.95,0.00034554334851101055,100
MAR,MAR_ignorability,P111,-4.820159975213456e-06,0.006819981678233553,0.006854337774045443,0.006729157584756844,0.94,100,0.006854337774045443,0.0,0.94,0.0006854337774045442,100
MAR,MAR_ignorability,mean_Y1,-0.0007380012282885984,0.00745168542653988,0.007452405881145002,0.007022144956042465,0.92,100,0.007452405881145002,0.0,0.92,0.0007452405881145002,100
MAR,MAR_ignorability,mean_Y2,-0.0011974843348066476,0.008672950585846322,0.008633158014624748,0.008242839650886047,0.92,100,0.008633158014624748,0.0,0.92,0.0008633158014624748,100
MAR,MAR_ignorability,mean_Y3,8.684068101980636e-05,0.008281389247014048,0.008322651733398093,0.00812544919245107,0.96,100,0.008322651733398093,0.0,0.96,0.0008322651733398093,100
MAR,MAR_ignorability,p_class2,0.0007769044796034513,0.0119822456326186,0.012017269973086232,0.01343147940586695,0.98,100,0.012017269973086232,0.0,0.98,0.0012017269973086232,100
MAR,candidate_saturated,M1_class1,-0.0007348643738208692,0.01295829245960716,0.01300261503693732,0.013006262125690577,0.93,100,0.01300261503693732,0.0,0.93,0.001300261503693732,100
MAR,candidate_saturated,M1_class2,-0.0009915332466957072,0.015238296688377131,0.015282608712992913,0.015697719477661146,0.98,100,0.015282608712992913,0.0,0.98,0.0015282608712992912,100
MAR,candidate_saturated,M2_class1,-0.00436640557603957,0.020701965192536573,0.020338197758383546,0.020839767060110106,0.94,100,0.020338197758383546,0.0,0.94,0.0020338197758383546,100
MAR,candidate_saturated,M2_class2,-0.005235924585438791,0.02778597386827896,0.02742566514472501,0.026440969283387416,0.97,100,0.02742566514472501,0.0,0.97,0.002742566514472501,100
MAR,candidate_saturated,M3_class1,-0.000269957093810739,0.018659321885693192,0.018751361335130213,0.018859194987878435,0.93,100,0.018751361335130213,0.0,0.93,0.0018751361335130213,100
MAR,candidate_saturated,M3_class2,-0.004445554103303392,0.02312719466971038,0.022810244508790135,0.021353939979512813,0.95,100,0.022810244508790135,0.0,0.95,0.0022810244508790134,100
